Time	Date	Comp Inlet Press	Comp Exit Press	Turb Inlet Press	Turb Exit Press	Noss Exit Press	Fuel Flow	RPM	Thrust	Comp Inlet	Comp Exit Temp	Turb Inlet Temp	Turb Exit Temp	EGT	
		PSIG	PSIG	PSIG	PSIG	PSIG	Gal/Hour	RPM	Lbs.	°C	°C	°C	°C	°C	
16:13:28	6/24/2019	 2.228150e-001	 2.009006e+001	 1.999752e+001	 1.606367e+000	 1.468027e+000	 4.518401e+000	 6.850782e+004	 1.647148e+001	 2.353639e+001	 1.989725e+002	 6.488416e+002	 6.357383e+002	 4.760905e+002	
16:13:32	6/24/2019	 2.230041e-001	 2.003584e+001	 1.994641e+001	 1.604964e+000	 1.465301e+000	 4.519191e+000	 6.846006e+004	 1.643488e+001	 2.357518e+001	 1.991128e+002	 6.473926e+002	 6.358895e+002	 4.758560e+002	
16:13:36	6/24/2019	 2.218099e-001	 1.983989e+001	 1.976081e+001	 1.583539e+000	 1.446942e+000	 4.516495e+000	 6.822008e+004	 1.637999e+001	 2.359895e+001	 1.991026e+002	 6.410857e+002	 6.377516e+002	 4.783778e+002	
16:13:40	6/24/2019	 2.192409e-001	 1.985147e+001	 1.977691e+001	 1.577019e+000	 1.443935e+000	 4.517944e+000	 6.817605e+004	 1.634340e+001	 2.367236e+001	 1.990797e+002	 6.376275e+002	 6.389961e+002	 4.787289e+002	
16:13:44	6/24/2019	 2.171159e-001	 1.986123e+001	 1.976185e+001	 1.589199e+000	 1.448138e+000	 4.517865e+000	 6.824226e+004	 1.630680e+001	 2.369336e+001	 1.989580e+002	 6.364185e+002	 6.394005e+002	 4.585834e+002	
16:13:48	6/24/2019	 2.195934e-001	 1.986910e+001	 1.977459e+001	 1.592968e+000	 1.450736e+000	 4.516469e+000	 6.824215e+004	 1.621532e+001	 2.363380e+001	 1.989337e+002	 6.362484e+002	 6.392446e+002	 4.776987e+002	
16:13:52	6/24/2019	 2.197520e-001	 1.981720e+001	 1.976417e+001	 1.584289e+000	 1.450986e+000	 4.514273e+000	 6.815399e+004	 1.625191e+001	 2.363785e+001	 1.989303e+002	 6.363088e+002	 6.390836e+002	 4.422062e+002	
16:13:56	6/24/2019	 2.194104e-001	 1.982226e+001	 1.974544e+001	 1.587674e+000	 1.450535e+000	 4.515915e+000	 6.815388e+004	 1.627021e+001	 2.365061e+001	 1.989505e+002	 6.364714e+002	 6.396465e+002	 4.443227e+002	
16:14:00	6/24/2019	 2.181674e-001	 1.983562e+001	 1.975331e+001	 1.583746e+000	 1.447705e+000	 4.515828e+000	 6.817551e+004	 1.632510e+001	 2.366950e+001	 1.990275e+002	 6.369998e+002	 6.401997e+002	 4.458827e+002	
16:14:04	6/24/2019	 2.187017e-001	 1.985208e+001	 1.976642e+001	 1.583667e+000	 1.451657e+000	 4.516715e+000	 6.819758e+004	 1.637999e+001	 2.364650e+001	 1.990471e+002	 6.372714e+002	 6.396755e+002	 4.517380e+002	
