Time	Date	Comp Inlet Press	Comp Exit Press	Turb Inlet Press	Turb Exit Press	Noss Exit Press	Fuel Flow	RPM	Thrust	Comp Inlet	Comp Exit Temp	Turb Inlet Temp	Turb Exit Temp	EGT	
		PSIG	PSIG	PSIG	PSIG	PSIG	Gal/Hour	RPM	Lbs.	°C	°C	°C	°C	°C	
16:10:56	6/24/2019	 1.064114e-001	 1.006608e+001	 1.000856e+001	 1.059819e+000	 6.280048e-001	 3.117387e+000	 5.267716e+004	 9.518615e+000	 2.386784e+001	 1.439172e+002	 6.030112e+002	 6.632882e+002	 4.656258e+002	
16:11:00	6/24/2019	 1.060686e-001	 1.006419e+001	 1.000283e+001	 1.057422e+000	 6.266447e-001	 3.118608e+000	 5.267694e+004	 9.591804e+000	 2.389335e+001	 1.439577e+002	 6.032980e+002	 6.632556e+002	 4.660432e+002	
16:11:04	6/24/2019	 1.069737e-001	 1.006474e+001	 1.000564e+001	 1.060130e+000	 6.266021e-001	 3.117870e+000	 5.267695e+004	 9.628398e+000	 2.380598e+001	 1.438915e+002	 6.023867e+002	 6.631913e+002	 4.669662e+002	
16:11:08	6/24/2019	 1.066919e-001	 1.006187e+001	 9.996731e+000	 1.059038e+000	 6.208260e-001	 3.117378e+000	 5.267705e+004	 9.555210e+000	 2.379534e+001	 1.439899e+002	 6.019265e+002	 6.631208e+002	 4.673325e+002	
16:11:12	6/24/2019	 1.073617e-001	 1.004028e+001	 1.000161e+001	 1.054891e+000	 6.189108e-001	 3.118502e+000	 5.263248e+004	 9.628398e+000	 2.381625e+001	 1.440103e+002	 6.025905e+002	 6.632349e+002	 4.671014e+002	
16:11:16	6/24/2019	 1.080009e-001	 1.004693e+001	 9.988681e+000	 1.052385e+000	 6.211554e-001	 3.118143e+000	 5.263238e+004	 9.536912e+000	 2.375739e+001	 1.439481e+002	 6.019347e+002	 6.634712e+002	 4.656860e+002	
16:11:20	6/24/2019	 1.066309e-001	 1.004553e+001	 9.995817e+000	 1.061990e+000	 6.250467e-001	 3.118959e+000	 5.263259e+004	 9.536912e+000	 2.380117e+001	 1.439709e+002	 6.020315e+002	 6.636475e+002	 4.674172e+002	
16:11:24	6/24/2019	 1.086242e-001	 1.007383e+001	 1.003357e+001	 1.057837e+000	 6.224118e-001	 3.119276e+000	 5.267716e+004	 9.646695e+000	 2.378657e+001	 1.439785e+002	 6.028231e+002	 6.632400e+002	 4.661556e+002	
16:11:28	6/24/2019	 1.085705e-001	 1.006010e+001	 9.987400e+000	 1.053543e+000	 6.207467e-001	 3.119873e+000	 5.263248e+004	 9.664991e+000	 2.381279e+001	 1.440972e+002	 6.033092e+002	 6.629353e+002	 4.666449e+002	
16:11:32	6/24/2019	 1.063894e-001	 1.003754e+001	 9.973677e+000	 1.055221e+000	 6.172945e-001	 3.119961e+000	 5.261053e+004	 9.591804e+000	 2.383741e+001	 1.440690e+002	 6.028239e+002	 6.624187e+002	 4.669274e+002	
16:11:36	6/24/2019	 1.065590e-001	 1.001473e+001	 9.956294e+000	 1.046566e+000	 6.203747e-001	 3.119372e+000	 5.256585e+004	 9.683288e+000	 2.381428e+001	 1.440139e+002	 6.020295e+002	 6.630554e+002	 4.656701e+002	
16:11:40	6/24/2019	 1.067847e-001	 9.987164e+000	 9.919027e+000	 1.048219e+000	 6.166053e-001	 3.119372e+000	 5.252160e+004	 9.555210e+000	 2.377080e+001	 1.439532e+002	 6.014803e+002	 6.631519e+002	 4.659106e+002	
16:11:44	6/24/2019	 1.071030e-001	 9.986675e+000	 9.930006e+000	 1.053293e+000	 6.164833e-001	 3.119399e+000	 5.245474e+004	 9.500318e+000	 2.373509e+001	 1.438440e+002	 6.024843e+002	 6.634731e+002	 4.666448e+002	
